200      GET        0l        0w        0c http://10.14.1.7/wp-includes/author-template.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp-meta-query.php
200      GET        2l      232w    10222c http://10.14.1.7/wp-includes/js/dist/i18n.min.js
200      GET        2l       12w    59016c http://10.14.1.7/wp-includes/css/dashicons.min.css
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/nav-menu.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/revision.php
200      GET        2l      585w    25438c http://10.14.1.7/wp-admin/css/forms.min.css
200      GET        1l      363w    19142c http://10.14.1.7/wp-includes/js/dist/vendor/wp-polyfill.min.js
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/block-editor.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/capabilities.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/admin-bar.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/post-formats.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/meta.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp-block.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/block-template.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp-feed-cache-transient.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/comment.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/post.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/media-template.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp-walker.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp-comment-query.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/query.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/functions.wp-scripts.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/post-template.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-phpass.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp-block-template.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-pop3.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/class-wp-fatal-error-handler.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/template.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/rest-api.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/ms-deprecated.php
200      GET        0l        0w        0c http://10.14.1.7/wp-includes/pluggable-deprecated.php
